OverallQual,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
7,856,1710,2,548,208500
6,1262,1262,2,460,181500
7,920,1786,2,608,223500
7,756,1717,3,642,140000
8,1145,2198,3,836,250000
5,796,1362,2,480,143000
8,1686,1694,2,636,307000
7,1107,2090,2,484,200000
7,952,1774,2,468,129900
5,991,1077,1,205,118000
5,1040,1040,1,384,129500
9,1175,2324,3,736,345000
5,912,912,1,352,144000
7,1494,1494,3,840,279500
6,1253,1253,1,352,157000
7,832,854,2,576,132000
6,1004,1004,2,480,149000
4,0,1296,2,516,90000
5,1114,1114,2,576,159000
5,1029,1339,1,294,139000
8,1158,2376,3,853,325300
7,637,1108,1,280,139400
8,1777,1795,2,534,230000
5,1040,1060,2,572,129900
5,1060,1060,1,270,154000
8,1566,1600,3,890,256300
5,900,900,2,576,134800
8,1704,1704,3,772,306000
5,1484,1600,1,319,207500
4,520,520,1,240,68500
4,649,1317,1,250,40000
5,1228,1228,1,271,149350
8,1234,1234,2,484,179900
5,1398,1700,2,447,165500
9,1561,1561,2,556,277500
8,1117,2452,3,691,309000
5,1097,1097,2,672,145000
5,1297,1297,2,498,153000
5,1057,1057,1,246,109000
4,0,1152,0,0,82000
6,1088,1324,2,440,160000
5,1350,1328,1,308,170000
5,840,884,2,504,144000
5,938,938,1,308,130250
5,1150,1150,1,300,141000
9,1752,1752,2,576,319900
7,1434,2149,2,670,239686
8,1656,1656,3,826,249700
4,736,1452,0,0,113000
5,955,955,1,386,127000
6,794,1470,2,388,177000
6,816,1176,2,528,114500
5,816,816,2,516,110000
9,1842,1842,3,894,385000
5,384,1360,2,572,130000
6,1425,1425,2,576,180500
8,970,1739,2,480,172500
7,860,1720,2,565,196500
10,1410,2945,3,641,438780
5,780,780,1,352,124900
6,1158,1158,2,576,158000
5,530,1111,1,288,101000
8,1370,1370,2,484,202500
7,576,1710,2,480,140000
7,1057,2034,2,645,219500
8,1143,2473,3,852,317000
7,1947,2207,2,576,180000
7,1453,1479,2,558,226000
4,747,747,1,220,80000
7,1304,2287,2,667,225000
7,2223,2223,2,516,244000
4,845,845,2,360,129500
7,832,1718,2,427,185000
5,1086,1086,2,490,144900
3,840,1605,1,379,107400
4,462,988,1,297,91000
4,952,952,1,283,135750
5,672,1285,1,240,127000
4,1768,1768,0,0,136500
5,440,1230,2,440,110000
6,896,2142,1,509,193500
6,1237,1337,2,405,153500
8,1563,1563,3,758,245000
5,1065,1065,2,461,126500
7,384,1474,2,400,168500
8,1288,2417,2,462,260000
6,684,1560,2,400,174000
6,612,1224,2,528,164500
3,1013,1526,0,0,85000
4,990,990,0,0,123600
4,0,1040,2,420,109900
5,1235,1235,2,480,98600
5,876,964,2,432,163500
6,1214,2291,2,506,133900
6,824,1786,2,684,204750
6,680,1470,2,420,185000
7,1588,1588,2,472,214000
4,960,960,1,432,94750
5,458,835,1,366,83000
4,950,1225,0,0,128950
6,1610,1610,2,480,205000
6,741,1732,2,476,178000
5,0,1535,2,410,118964
7,1226,1226,3,740,198900
7,1040,1818,1,240,169500
8,1053,1992,2,648,250000
4,641,1047,1,273,100000
5,789,789,1,250,115000
5,793,1517,0,0,115000
6,1844,1844,2,546,190000
6,994,1855,1,325,136900
7,384,1430,2,400,180000
7,1264,2696,3,792,383970
6,1809,2259,2,450,217000
6,1028,2320,1,180,259500
6,729,1458,2,440,176000
5,1092,1092,1,288,139000
5,1125,1125,2,430,155000
7,1673,3222,3,594,320000
6,728,1456,2,390,163990
6,938,988,2,540,180000
4,732,1123,1,264,100000
6,1080,1080,1,288,136000
6,1199,1199,2,530,153900
6,1362,1586,2,435,181000
6,520,754,0,0,84500
6,1078,958,2,440,128000
5,672,840,0,0,87000
6,660,1348,2,453,155000
5,1008,1053,2,750,150000
7,924,2157,2,487,226000
6,992,2054,2,390,244000
5,1063,1327,2,624,150750
8,1267,1296,2,471,220000
5,1461,1721,2,440,180000
7,1304,1682,2,530,174000
5,1214,1214,1,318,143000
7,1907,1959,3,766,171000
8,1004,1852,3,660,230000
6,928,1764,2,470,231500
4,864,864,0,0,115000
7,1734,1734,2,660,260000
5,910,1385,2,720,166000
