OverallQual,TotalBsmtSF,GrLivArea,GarageCars,GarageArea
8,1719,1719,2,473
7,912,2094,2,615
8,1482,2574,3,868
5,861,1367,1,384
6,1291,1291,2,431
7,952,1548,2,672
6,799,1571,2,380
4,1134,1229,1,284
8,1088,1959,3,1025
6,806,1647,1,216
5,1360,1432,2,588
6,1064,1639,1,240
4,576,1140,0,0
7,1157,2062,2,454
7,948,2110,2,463
5,988,988,2,572
8,1566,1600,3,890
8,1095,1939,3,1053
8,1338,1338,2,582
4,630,630,0,0
7,1286,1294,2,662
7,856,1710,2,548
4,560,1346,1,384
7,756,1553,2,615
5,833,833,0,0
3,864,864,0,0
6,848,848,2,420
5,896,1344,1,240
7,1616,1616,3,834
4,720,1192,0,0
6,650,1564,2,476
6,1328,1328,2,528
7,764,1626,2,474
7,879,1863,3,660
4,864,864,2,576
5,264,1432,2,360
6,1094,1094,2,495
5,780,1020,0,0
5,864,864,0,0
4,755,1510,1,296
5,1029,1339,1,294
5,1010,1134,1,254
5,756,1134,1,240
7,813,1665,2,562
5,530,1111,1,288
5,969,969,2,440
6,1479,1494,2,576
6,888,912,2,470
5,0,2020,2,630
8,1184,2610,2,550
3,600,968,0,0
5,1144,1144,1,336
6,1461,1509,2,600
6,778,1489,1,240
9,1698,1709,2,506
7,576,1710,2,480
5,732,1838,2,372
5,1656,1656,2,506
9,1620,1620,3,912
7,1257,1266,2,453
6,1262,1262,2,460
5,1389,1389,2,418
7,1453,1479,2,558
6,1008,2210,1,205
5,894,894,1,308
7,1568,2156,2,508
8,1626,1634,3,866
5,1008,1008,1,275
5,803,1360,1,297
5,894,894,2,450
6,938,988,2,540
8,1623,1636,3,865
6,672,1400,2,440
8,2077,2097,3,1134
9,1792,1792,3,874
5,384,1360,2,572
6,744,752,1,264
6,1144,1429,2,572
8,1158,2376,3,853
5,1097,1097,2,672
6,1116,1116,2,440
5,1314,1314,1,294
4,1095,1774,3,779
6,735,1218,2,440
5,1598,3086,0,0
7,798,1954,2,431
7,952,2256,2,554
4,990,990,0,0
7,920,1786,2,608
6,680,1470,2,420
6,690,1426,2,440
5,1461,1721,2,440
5,1126,1126,2,540
6,1542,2073,2,500
6,319,1406,0,0
6,848,848,2,420
4,546,1344,0,0
6,816,816,0,0
5,612,2601,2,621
5,952,952,2,840
5,896,2008,1,230
6,1010,2267,2,390
7,1302,1302,2,436
8,1656,1656,3,826
5,1060,1060,1,270
5,1063,1327,2,624
6,755,2229,0,0
6,816,1977,2,540
6,926,1604,2,470
5,0,1048,2,420
10,1410,2945,3,641
10,1722,2296,3,842
3,270,729,0,0
8,2217,2217,2,621
5,698,698,0,0
4,864,864,2,576
6,832,2087,2,444
7,776,1502,1,270
5,876,988,1,276
8,1030,2098,3,878
6,1505,1505,2,505
8,1141,2263,2,420
6,561,1229,2,462
7,1340,1340,2,396
6,1127,1165,2,490
7,1502,2730,2,576
6,804,1548,2,440
6,547,1072,2,525
7,600,1223,2,480
6,1019,1357,1,312
5,876,923,1,264
7,1530,1530,3,630
4,1440,1440,0,0
7,750,1923,2,564
5,864,864,1,338
5,912,912,1,288
7,978,1983,2,490
5,940,1964,0,0
5,1008,1522,0,0
6,1216,1216,2,402
5,1040,1040,2,576
7,1372,1372,2,529
6,1202,2158,2,576
5,768,768,2,624
7,846,1692,2,650
7,860,1720,2,565
10,1237,2775,2,880
5,858,858,0,0
4,672,672,1,234
6,855,1456,2,440
7,939,1797,2,639
7,1152,2340,1,252
8,1406,1936,2,504
8,3200,3228,2,546
7,1845,1872,2,604
8,1466,1466,3,610
5,1113,1113,1,264
5,864,899,1,288
7,799,1661,2,550
8,1594,1646,2,482
7,1504,1504,2,478
5,928,928,1,252
7,832,854,2,576
8,1470,2630,3,696
7,996,1744,2,457
7,868,2021,2,422
7,1470,1478,2,484
8,1686,1694,2,636
5,1361,2620,2,600
6,975,1004,2,504
4,861,861,2,539
7,864,1820,2,492
8,853,2727,2,440
5,864,892,1,264
8,1181,2374,3,656
6,708,1416,2,776
4,1122,1981,2,576
6,732,1790,2,484
7,1337,1337,2,531
8,1683,2872,2,541
7,625,1250,2,625
7,1192,2167,2,518
7,728,2019,2,532
6,936,996,2,564
5,864,1144,1,264
5,935,935,1,288
5,970,970,2,624
6,684,1196,2,528
10,1682,2332,3,846
6,742,1484,0,0
9,1652,1652,2,840
6,796,1574,2,566
7,1428,1428,2,480
7,1710,1710,2,550
5,1140,1140,0,0
6,896,2142,1,509
6,819,1344,2,525
6,1682,1700,2,544
10,6110,5642,2,1418
8,970,1739,2,480
5,1680,1680,2,528
5,816,816,2,516
7,770,1582,2,520
5,0,2320,2,672
7,880,1768,2,320
5,816,816,1,264
5,720,2192,1,240
6,741,1732,2,476
8,1463,2622,2,712
4,420,708,0,0
8,1488,1502,2,528
7,1470,3493,3,870
5,780,780,1,352
5,644,1355,0,0
7,963,1792,2,564
4,952,952,1,283
5,950,950,1,280
4,936,936,2,576
7,1113,1971,2,689
4,1100,1100,1,312
5,793,1118,2,410
7,941,1829,2,613
8,2042,2042,3,1390
5,780,1868,2,484
5,789,789,1,250
5,1056,1056,2,572
8,1494,1494,2,481
6,806,1578,1,240
7,1434,2149,2,670
4,960,960,1,432
6,588,1095,1,264
7,654,1496,2,426
5,1056,1074,2,495
7,866,1768,2,603
5,1050,1050,1,368
4,648,960,1,364
9,1842,1842,3,894
5,765,1365,2,440
6,794,1796,2,546
9,1980,1980,3,770
10,2396,4476,3,813
4,796,1154,1,240
6,970,1709,2,380
4,693,693,0,0
6,716,1556,2,452
7,1050,1949,2,574
5,788,804,1,240
7,1436,1436,2,484
6,1657,1657,2,484
7,384,1430,2,400
6,611,1362,2,502
8,1034,2078,3,836
5,911,954,2,576
6,844,2134,2,441
9,1746,1746,3,758
5,816,816,1,264
6,1040,1097,2,480
6,547,1072,2,525
8,1142,2715,2,831
4,951,951,1,327
5,768,789,1,200
6,1029,1117,2,672
5,960,1960,2,400
5,1269,1269,1,308
8,1004,1852,3,660
8,1836,1836,3,862
7,874,1761,2,578
6,901,1876,2,540
6,1032,1032,2,564
5,974,974,0,0
5,884,1348,1,216
4,1040,1120,2,544
6,756,1573,2,440
6,1372,1342,2,457
8,1234,1234,2,484
7,585,2069,2,505
5,1050,1795,1,352
7,1643,1824,2,739
8,1058,1904,2,736
5,1176,1178,2,439
6,1237,1337,2,405
6,945,980,0,0
6,1092,1152,1,300
5,996,996,0,0
6,1078,958,2,440
7,900,1852,2,644
5,1125,1125,2,430
8,1028,2452,2,683
6,896,1913,2,342
6,1181,1694,2,576
7,744,1501,2,440
8,1501,1659,2,499
5,0,1771,2,336
5,1078,1078,1,240
7,861,1477,1,216
6,672,1386,2,440
7,976,1708,2,380
5,1062,1352,1,288
6,672,1218,1,264
6,1575,1575,2,529
6,880,1680,2,540
5,1097,1110,2,602
7,994,1804,2,442
6,1004,1004,2,480
5,1165,1336,1,375
8,1085,1970,3,753
6,1440,1440,2,467
5,728,1308,1,256
5,1390,1701,2,611
8,1573,1625,2,538
6,713,1552,2,434
7,1053,1173,2,528
9,1698,1698,3,768
7,1310,1310,2,400
6,854,1991,2,432
7,1494,1494,2,530
4,864,864,2,400
9,1561,1561,2,556
6,648,1118,2,440
7,1530,1530,2,430
5,1164,1320,2,564
5,864,874,1,288
5,924,924,1,280
6,1041,1125,1,352
5,925,999,1,300
7,992,2060,2,390
8,2109,2113,3,839
6,855,1441,2,440
6,1096,1118,1,358
7,847,1959,2,434
7,832,1664,2,528
6,588,2555,2,672
7,1356,1500,3,648
8,1360,3112,2,795
7,1309,1339,2,484
8,1657,1668,2,502
4,1067,1067,2,436
6,1026,1026,2,440
4,0,1294,0,0
5,547,1072,2,525
7,1541,1541,3,843
6,855,1456,2,440
7,551,1102,2,480
8,1704,1704,3,772
5,864,864,1,336
8,1252,2365,3,856
6,616,1412,2,432
5,988,988,2,520
7,1195,1839,2,486
7,1277,1277,2,526
7,700,2243,3,746
7,1386,1569,3,660
6,520,754,0,0
6,483,987,1,288
7,1344,1344,4,784
5,1268,1268,1,244
6,1149,1616,1,216
7,1494,1494,3,840
5,1022,1022,1,280
5,1392,1392,2,528
8,1370,1370,2,484
5,662,2337,2,560
7,1689,1689,3,954
5,864,864,2,720
9,1992,2868,3,716
9,1838,1838,3,765
6,1362,1586,2,435
9,1684,1684,2,564
8,1593,1593,2,682
7,1057,2034,2,645
6,1193,1523,2,478
7,952,1774,2,468
7,2110,2110,2,522
6,804,2447,1,336
7,798,1640,2,595
7,1242,1242,2,528
3,0,944,2,528
7,925,1889,1,308
5,1268,1264,2,461
5,1350,1328,1,308
8,1580,1580,3,830
2,480,480,1,308
6,972,1577,1,312
5,0,1535,2,400
4,1064,1040,2,648
9,1856,1856,3,834
5,757,1475,1,336
8,1165,2526,3,844
5,912,912,1,336
5,912,912,1,297
8,1496,2132,2,612
5,731,1768,1,240
7,1385,1363,2,439
5,984,1604,2,660
5,1090,1090,2,450
6,918,918,1,264
4,864,864,0,0
6,1392,1412,2,576
3,864,864,1,200
8,1581,1601,2,670
8,1952,2704,2,538
4,0,1040,2,420
7,1204,2183,3,786
6,816,1176,2,528
7,1604,1604,2,660
7,570,1920,2,487
7,696,1416,2,484
5,784,1968,2,530
7,1459,1459,2,527
5,796,1466,2,566
5,864,1200,2,884
9,1766,1766,3,478
6,982,1800,2,463
7,716,1432,2,432
3,894,894,3,1248
5,768,792,1,240
9,1249,2596,3,840
7,1090,1370,2,479
7,1017,2057,1,180
6,1425,1425,2,576
5,811,1387,1,256
5,1486,1486,2,480
7,975,2291,2,429
4,0,845,1,290
5,874,1524,1,315
7,866,1779,2,546
6,1065,1635,2,440
4,941,1470,1,548
8,1800,1800,3,765
8,1128,2020,2,466
5,1024,1086,2,484
4,948,948,1,280
6,1158,1167,2,400
5,948,948,1,300
7,651,1389,1,240
6,626,1217,1,288
5,1297,1297,2,498
8,1247,1247,2,550
5,1272,2200,0,0
4,1196,1196,2,440
6,1319,1537,2,462
6,1296,1640,2,924
8,810,1665,2,528
5,1040,1040,1,384
4,0,1126,2,520
5,864,900,1,288
6,1248,1350,2,520
